(振幅, Amplitude)
(测定超声波, Measuring ultrasonic waves)
(频率, Frequency)
(频率差, Frequency difference)
(拍现象, Beating phenomenon)
(合矢量, Resultant vector)
(振幅调制, Amplitude modulation)
(拍频, Beat frequency)
(位移, Displacement)
(余弦因子, Cosine factor)
(音叉, Tuning fork)
(测定无线电波频率, Measuring radio wave frequency)
(同方向不同频率谐振动, Harmonic oscillations with different frequencies in the same direction)
(角频率, Angular frequency)
(拍, Beat)
(夹角, Angle)
(初相, Phase)
(音乐声学, Acoustics of music)
(周期, Period)
(校准乐器, Calibrating musical instruments)
(旋转矢量法, Rotating vector method)
(合成拍, Beat synthesis)
