(白矮星, White dwarf)
(中子数, Neutron number)
(原子核, Atomic nucleus)
(体积, Volume)
(液滴模型, Liquid drop model)
(电荷分布, Charge distribution)
(质量分布, Mass distribution)
(质子, Proton)
(核物质, Nuclear matter)
(水的密度, Density of water)
(中子星, Neutron star)
(球形, Spherical)
(高能粒子散射实验, High-energy particle scattering experiment)
(电子, Electron)
(平均密度, Average density)
(大小, Size)
(半径, Radius)
(质子数, Proton number)
(长椭球, Prolate spheroid)
(形状, Shape)
(中子, Neutron)
(扁椭球, Oblate spheroid)
(基态, Ground state)
(质量数, Mass number)
(恒星, Star)
