(X射线, X-ray)
(X射线结构分析, X-ray crystallography)
(单缝衍射, Single slit diffraction)
(正人射, On-axis shooting)
(杨氏双缝实验, Young's double-slit experiment)
(衍射, Diffraction)
(暗纹条件, Dark fringe condition)
(光谱重叠, Spectral overlap)
(X射线光谱分析, X-ray spectroscopy)
(晶体, Crystal)
(多光束干涉, Multiple-beam interference)
(葶夸吵亨孕毕兮芩, Formation of interference pattern)
(光栅常量, Grating constant)
(光强分布, Intensity distribution)
(衍射图样变化, Changes in diffraction pattern)
(分离, Separation)
(图15*64, Figure 15*64)
(晶格常量, Lattice constant)
(0级, Zeroth order)
(入射X射线, Incident X-ray)
(相邻两层反射波的光程差, Optical path difference between adjacent layers)
(原子层间的距离, Distance between atomic layers)
(光栅衍射主极大明纹, Main bright fringes in grating diffraction)
(布拉格定律, Bragg's law)
(第二种情况, Second case)
(晶体微观结构和缺陷, Crystal microstructure and defects)
(束平彳7HIr的X射线, X-ray with grazing incidence angle P)
(光栅衍射, Grating diffraction)
(衍射实验, Diffraction experiment)
(斜人射, Off-axis shooting)
(相干条件, Coherence condition)
(光栅衍射条纹影响因素, Factors affecting grating diffraction fringes)
(劳厄斑, Laue spots)
(缝宽, Slit width)
(劳厄斑, Laue spot)
(菲涅耳半波带法, Fresnel half-period method)
(缝间干涉, Interference between slits)
(光栅, Grating)
(晶面, Crystal plane)
