(切向加速度, Tangential acceleration)
(伽利略速度变换式, Galilean velocity transformation equation)
(伽利略速度变换式, Galilean velocity transformation)
(角位移, Angular displacement)
(速率, Speed)
(坐标系, Coordinate system)
(相对速度, Relative velocity)
(罗盘, compass)
(位置, position)
(速度变换定理, velocity transformation theorem)
(绝对速度, absolute velocity)
(水平轨道, horizontal track)
(匀加速直线运动, Uniformly accelerated linear motion)
(法向加速度, Normal Acceleration)
(观察, observe)
(猴子, monkey)
(击中猴子, Hit the monkey)
(经典力学, Classical mechanics)
(角度, angle)
(运动参考系, motion reference frame)
(狭义相对论, Special relativity)
(矢量图, vector diagram)
(光速, Speed of light)
(位移, Displacement)
(直线运动, Linear Motion)
(法向加速度, Normal acceleration)
(物体运动速度, Object velocity)
(下雨, rain)
(伽利略变换, Galilean transformation)
(甲对乙的速度, velocity of A relative to B)
(运动方程, motion equation)
(子弹, bullet)
(匀速直线运动, Uniform Linear Motion)
(气流, airflow)
(变速直线运动, Variable Linear Motion)
(伽利略速度变换, Galilean velocity transformation)
(法向分量, Normal Component)
(运动方程, Equation of Motion)
(速度, Velocity)
(位置矢量, Position Vector)
(速度变换式, Velocity transformation equation)
(速度, velocity)
(圆周运动, Circular motion)
(牵连速度, consequential velocity)
(最高点, Highest Point)
(匀速, uniform speed)
(运动方程, Equation of motion)
(航向, heading)
(速度与时间的关系式, Relationship between velocity and time)
(平动坐标系变换, Translation of coordinate systems)
(曲线运动, Curved Motion)
(坐标系, Coordinate System)
(一质点沿尤轴运动, A particle moves along the y-axis)
(飞机, airplane)
(击中, hit)
(相对地面静止的坐标系, Coordinate system relative to the ground)
(相对运动, relative motion)
(圆周运动, Circular Motion)
(抛体运动, Projectile motion)
(基本参考系, basic reference frame)
(甲对丙的速度, velocity of A relative to C)
(自由下落, Free fall)
(风速, wind speed)
(角速度, Angular velocity)
(斜面, Incline)
(位矢, Position vector)
(静止, stationary)
(路程, Distance)
(相对速度, relative velocity)
(匀加速运动, Uniformly Accelerated Motion)
(抛物线运动, Parabolic Motion)
(角加速度, Angular acceleration)
(质点, Particle)
(地面, ground)
(加速度, Acceleration)
(空气阻力, Air resistance)
(角位置, Angular position)
