(静能, Rest energy)
(低速近似, Low-speed approximation)
(粒子, Particle)
(质点动能, Particle kinetic energy)
(氦核, Helium nucleus)
(静止, Rest)
(静止质量, Rest mass)
(碰撞, Collision)
(牛顿力学, Newtonian mechanics)
(功, Work)
(光速, Speed of light)
(裂变, Fission)
(1千万吨级, 10,000,000 ton level)
(相对论动能, Relativistic kinetic energy)
(能量, Energy)
(铀, Uranium)
(能量守恒定律, Law of conservation of energy)
(相对论能量, Relativistic energy)
(相对论质能关系, Relativistic mass-energy relation)
(广岛爆炸, Hiroshima explosion)
(能量释放, Energy release)
(氘核, Deuterium nucleus)
(聚变, Fusion)
(原子能, Atomic energy)
(氚核, Tritium nucleus)
(动能定理, Kinetic energy theorem)
(物体静止时的能量, Rest energy of an object)
(相互作用, Interaction)
(吨级, Ton level)
(相对论动量, Relativistic momentum)
(质量守恒定律, Law of conservation of mass)
(质量亏损, Mass loss)
(相对论质量, Relativistic mass)
(核能, Nuclear energy)
(狭义相对论, Special theory of relativity)
(速度, Velocity)
(相对论动力学方程, Relativistic dynamics equation)
(氢弹, Hydrogen bomb)
(质量, Mass)
(中子, Neutron)
(质点, Particle)
(2万吨级, 20,000 ton level)
(标准煤燃料, Standard coal fuel)
(合力, Net force)
(热核爆炸, Thermonuclear explosion)
(原子弹, Atomic bomb)
