(摩擦系数, Coefficient of friction)
(方程, Equation)
(坐标系, Coordinate system)
(能量, Energy)
(外力, External Force)
(压缩, Compression)
(保守内力, Conservative Internal Force)
(弹簧振子, Spring oscillator)
(俗语意义, Colloquial meaning)
(发射速度, Launch velocity)
(非保守力, Non-conservative force)
(能量守恒定律, Law of Conservation of Energy)
(功能原理, Principle of Function)
(滑块, Slider)
(系统, System)
(解取木块、轻弹簧、斜面和地球组成的系统, System composed of wooden blocks, light springs, inclined planes, and the Earth)
(势能, Potential energy)
(电能, Electrical Energy)
(星体, Celestial body)
(势能, Potential Energy)
(运动状态, Motion state)
(重力, Gravity)
(伸长量, Extension)
(自由落下, Free fall)
(弹性力, Elastic force)
(反作用力, Reaction force)
(始末状态, Initial and final states)
(机械能守恒定律, Law of Conservation of Mechanical Energy)
(引力势能, Gravitational potential energy)
(速率, Velocity)
(摩擦力, Frictional force)
(碰撞, Collision)
(卫星, Satellite)
(热能, Thermal Energy)
(动能定理, Kinetic Energy Theorem)
(弹簧, Spring)
(机械能, Mechanical Energy)
(受力, Force)
(动能定理, Kinetic energy theorem)
(重物, Heavy object)
(速度, Velocity)
(橡皮绳, Rubber rope)
(守恒, Conservation)
(动量定理, Momentum theorem)
(运动情况, Motion condition)
(科学意义, Scientific meaning)
(功, Work)
(起重机, Crane)
(重力势能, Gravitational potential energy)
(摩擦力, Frictional Force)
(万有引力势能, Gravitational potential energy)
(沙坑, Sand pit)
(能量转化, Energy conversion)
(圆轨道, Circular orbit)
(质点系, Particle system)
(弹性势能, Elastic potential energy)
(火箭发动机, Rocket engine)
(动能, Kinetic energy)
(内力, Internal Force)
(劲度系数, Spring constant)
(向心力, Centripetal force)
(木块, Block)
(内力, Internal force)
(弹力, Elastic force)
(力学问题, Mechanical problem)
(万有引力, Universal gravitational force)
(动量守恒定律, Conservation of momentum)
(原子能, Atomic Energy)
(斜面支撑力, Support force of the inclined plane)
(斜面, Incline)
(势能增量, Potential energy increment)
(脱离地球引力, Escape from Earth's gravity)
(辅助方程, Auxiliary equation)
(作用力, Action force)
(非保守内力, Non-conservative Internal Force)
(水平桌面, Horizontal table)
(人造地球卫星, Artificial Earth satellite)
(机械能, Mechanical energy)
(斜面摩擦力, Frictional Force on the Incline)
(无穷远, Infinity)
(撑杆跳高, Pole vaulting)
(功能原理, Principle of work and energy)
(机械能守恒, Conservation of mechanical energy)
(空气阻力, Air resistance)
(第二宇宙速度, Second cosmic velocity)
