(傍轴近似, Paraxial approximation)
(物距, object distance)
(物点, Object point)
(单个球面界面, Single spherical interface)
(凹折射球面, Concave refracting spherical surface)
(像距, image distance)
(符号规则, Sign rules)
(光轴, Optical axis)
(光学元件, Optical element)
(物方焦点, Object-side focus)
(曲率中心, Curvature center)
(折射球面, Refracting surface)
(像距, Image distance)
(球面, Spherical surface)
(透镜, Lens)
(焦点, Focus)
(焦点位置, Focal point position)
(像点, Image point)
(凹折射球面, Concave refracting surface)
(正立, upright)
(折射率, refractive index)
(放大率, Magnification)
(正负号, Positive and negative sign)
(像方焦距, Image-side focal length)
(折射, Refraction)
(虚像, virtual image)
(逐次成像, successive imaging)
(小钥匙经球第一折射球面成像位置, Image position of the key on the first refracting spherical surface)
(折射光, refracted light)
(透镜材料, Lens material)
(折射定律, Law of refraction)
(平行光, Parallel light)
(倒立, Inverted)
(正立, Upright)
(放大率, magnification)
(物理意义, Physical meaning)
(内角, Interior angle)
(平面, Plane)
(像方焦点, Image-side focus)
(角, Angle)
(解释计算结果, Interpretation of calculation results)
(第一折射球面成像位置, Image position on the first refracting spherical surface)
(经球面, Refracting spherical surface)
(凸折射球面, Convex refracting spherical surface)
(物方焦距, Object-side focal length)
(纵向放大率, Longitudinal magnification)
(物距, Object distance)
(物像公式, Object-image formula)
(反射, Reflection)
(实像, Real image)
(球面对称性, Spherical symmetry)
(凸折射球面, Convex refracting surface)
(三角形, Triangle)
(外角, Exterior angle)
(球面折射, spherical refraction)
(虚像, Virtual image)
(平折射面, Plane refracting surface)
(介质, Medium)
(折射率, Refractive index)
(像高, Image height)
(倒立, inverted)
(物在无限远处时的成像位置, Image position when the object is at infinity)
(笛卡儿符号规则, Descartes' sign convention)
(焦距, Focal length)
(像方焦点, Image focal point)
(像相对物的正立或倒立, Orientation of the image relative to the object)
(物点P, Object point P)
(第二折射球面成像位置, Image position on the second refracting spherical surface)
(负号, Negative sign)
(绘图, Drawing)
