(周期性, Periodicity)
(铬, Chromium)
(汞, Hg)
(量子理论, Quantum Theory)
(锡, Tin)
(钐, Sm)
(钼, Molybdenum)
(锫, Bk)
(钌, Ruthenium)
(锸, Ra)
(锌, Zinc)
(铷, Rubidium)
(锇, Os)
(钨, W)
(钯, Palladium)
(铯, Cesium)
(锆, Zirconium)
(固体, Solid)
(钇, Yttrium)
(锝, Technetium)
(铌, Niobium)
(钚, Pu)
(铂, Pt)
(导电性, Conductivity)
(角量子数, Angular Quantum Number)
(铊, T1)
(窃, Lw)
(钍, Th)
(电子自旋运动状态, Electron spin motion state)
(锶, Strontium)
(电子轨道运动状态, Electron orbital motion state)
(钷, Pm)
(锞, Nickel)
(铑, Rhodium)
(钡, Barium)
(钛, Titanium)
(钒, Vanadium)
(铒, Er)
(镤, Pa)
(镄, Fm)
(铁, Iron)
(韦卜, Po)
(铕, Eu)
(能量最小原理, Principle of Minimum Energy)
(银, Silver)
(泡利不相容原理, Pauli Exclusion Principle)
(钫, ~yr)
(硅, Silicon)
(锕, Ac)
(钾, Potassium)
(依, Ir)
(卿, Arsenic)
(轨道角动量, Orbital angular momentum)
(固体能带结构, Solid Band Structure)
(碲, Tellurium)
(氪, Krypton)
(溴, Bromine)
(硫, Sulfur)
(电子壳层结构, Electron Shell Structure)
(金, Au)
(磁量子数, Magnetic Quantum Number)
(镁, Magnesium)
(钴, Cobalt)
(四个量子数, Four quantum numbers)
(角量子数, Azimuthal quantum number l)
(铝, Aluminum)
(支壳层, Subshell)
(镧, Lanthanum)
(锗, Germanium)
(镓, Gallium)
(铽, Tb)
(主壳层, Shell)
(硒, Selenium)
(钙, Calcium)
(氯, Chlorine)
(锘, No)
(锰, Manganese)
(丰旱nw, Principal quantum number n)
(电子对热容的贡献, Contribution of Electrons to Heat Capacity)
(锿, Es)
(磁量子数, Magnetic quantum number m)
(镥, Lu)
(电子壳层结构, Electron shell structure)
(满壳层, Full Shell)
(壳层, Shell)
(镝, Dy)
(钢, Indium)
(镎, Np)
(柿, Cerium)
(铼, Re)
(电子数, Number of Electrons)
(磷, Phosphorus)
(礼, Gd)
(热传导, Thermal Conductivity)
(钕, Nd)
(原子序数, Atomic Number)
(氡, Rn)
(氩, Argon)
(钽, Ta)
(铜, Copper)
(钔, Md)
(铀, U)
(铅, Pb)
(镅, Am)
(锔, Cm)
(砹, At)
(镉, Cadmium)
(抗, Scandium)
(泡利不相容原理, Pauli exclusion principle)
(餘, Hf)
(钬, Ho)
(镰, Yb)
(祕, Bi)
(碘, Iodine)
(自旋磁量子数, Spin magnetic quantum number s)
(铥, Tm)
