(天花板, Ceiling)
(始状态, Initial State)
(参考系, Frame of Reference)
(临界状态, Critical state)
(切向力, Tangential Force)
(内力, Internal force)
(摩擦力, Frictional force)
(数值, Value)
(元路程, Elemental Path)
(作功, Work)
(功, Work)
(反抗外力, Resist External Force)
(末状态, Final State)
(位移, Displacement)
(外力, External Force)
(质点系, System of particles)
(小球位移, Displacement of the ball)
(动能定理, Kinetic Energy Theorem)
(物体状态变化, Change in Object's State)
(正功, Positive Work)
(数学表达形式, Mathematical Expression)
(单摆, Pendulum)
(质点系, Particle system)
(静摩擦力, Static frictional force)
(光滑, Smooth)
(外力, External force)
(末态, Final state)
(惯性系, Inertial frame of reference)
(始态, Initial state)
(动能, Kinetic Energy)
(细绳, String)
(位置, Position)
(合力, Net Force)
(动能定理, Kinetic energy theorem)
(滑动摩擦力, Sliding frictional force)
(元功, Elemental Work)
(求解, Solve)
(细节, Details)
(速度, Velocity)
(动能变化, Change in Kinetic Energy)
(重力, Gravity)
(张力, Tension)
(质量, Mass)
(惯性系, Inertial Frame of Reference)
(负功, Negative Work)
(质点, Particle)
(元位移, Elemental Displacement)
(小球, Ball)
(运动状态, Motion State)
