(自感系数L, Self-inductance coefficient L)
(电动自感, Self-inductance)
(平行传输线的自感, Self-inductance of parallel transmission lines)
(电磁感应定律, Faraday's law of electromagnetic induction)
(磁通匝链数, Magnetic flux linkage)
(电磁惯性, Electromagnetic inertia)
(自感线圈, Self-inductance coil)
(长直螺线管, Long solenoid)
(亨利(H), Henry (H))
(分布电感, Distributed inductance)
(平行长直导线, Parallel straight wires)
(螺线管的自感系数, Self-inductance coefficient of solenoid)
(自感的计算, Calculation of self-inductance)
(磁感应强度B, Magnetic induction B)
(传输线的自感, Self-inductance of transmission lines)
(电阻K, Resistance K)
(自感电动势, Self-induced electromotive force)
(回路中的电流I, Current in the circuit I)
(环形密绕线圈, Toroidal coil)
(感应电流, Induced current)
(同轴电缆, Coaxial cable)
