(斯特藩-玻耳兹曼定律, Stefan-Boltzmann law)
(观测炉温, Observing furnace temperature)
(电磁波, Electromagnetic waves)
(黑体辐射, Blackbody radiation)
(维恩位移定律, Wien's displacement law)
(热辐射, Thermal radiation)
(理想黑体, Ideal blackbody)
(热力学温度, Thermodynamic temperature)
(能量, Energy)
(模型, Model)
(自然界, Nature)
(表面状况, Surface condition)
(单色辐出度, Monochromatic emissivity)
(地球表面接收到的辐射能, Radiation energy received by the Earth's surface)
(辐射能, Radiation energy)
(峰值波长, Peak wavelength)
(太阳表面温度, Temperature of the sun's surface)
(太阳辐出度, Solar radiance)
(温度, Temperature)
(斯特藩-玻耳兹曼常量, Stefan-Boltzmann constant)
(反射, Reflection)
(材料, Material)
(形状, Shape)
(短波成分, Shortwave component)
(透射, Transmission)
(吸收, Absorption)
(辐射本领, Radiation power)
(波长, Wavelength)
(维恩常量, Wien constant)
