(分子性质, Molecular Properties)
(平均碰撞频率, Mean Collision Frequency)
(能量均分定理, Equipartition Theorem)
(气体状态, Gas State)
(分子的有效直径, Effective diameter of molecules)
(理想气体状态方程, Ideal Gas State Equation)
(重力场, Gravity Field)
(自由路程, Free path)
(分子数密度, Molecular Number Density)
(平均自由程, Average free path)
(分子的平均碰撞频率, Average collision frequency of molecules)
(平均自由程, Mean Free Path)
(温度, Temperature)
(麦克斯韦速率分布律, Maxwell Speed Distribution Law)
(单位体积内的分子数, Number of molecules per unit volume)
(分子的碰撞, Collision of molecules)
(压强, Pressure)
(分子的运动轨迹, Motion trajectory of molecules)
(平均碰撞频率, Average collision frequency)
(分子的相对速率, Relative velocity of molecules)
(平均速率, Average velocity)
(玻耳兹曼能量分布律, Boltzmann Energy Distribution Law)
(内能, Internal Energy)
(气体的压强, Pressure of gas)
