(滑块, Block)
(摩擦力, Frictional force)
(线量, Linear quantity)
(转动惯量, Moment of inertia)
(质心, Center of mass)
(摩擦力矩, Frictional torque)
(转动运动方程, Equations of rotational motion)
(钟摆, Pendulum)
(冲击力, Impulse force)
(角速度, Angular velocity)
(角量, Angular quantity)
(重力力矩, Gravitational torque)
(刚体系统的总转动惯量, Total rotational inertia of a rigid body system)
(转动方向, Direction of rotation)
(平动, Translation)
(刚体动力学, Rigid body dynamics)
(质量面密度, Mass surface density)
(角加速度, Angular acceleration)
(合外力矩, Net external torque)
(滑轮, Pulley)
(牛顿定律, Newton's laws of motion)
(张力, Tension)
(约束力, Constraint force)
(力矩, Torque)
(均质圆盘, Homogeneous disk)
(刚体定轴转动定律, Law of rotational motion of a rigid body about a fixed axis)
(重物, Mass)
(刚体力学, Rigid body mechanics)
(击球点, Point of impact)
(加速度, Acceleration)
(打击中心, Center of percussion)
(逆时针方向, Counterclockwise direction)
(定轴转动定律, Law of rotational motion about a fixed axis)
(质点力学, Particle mechanics)
