(磁化方向, Magnetization direction)
(数据, Data)
(脉冲电流, Pulse current)
(临界温度, Curie temperature)
(外半径, Outer radius)
(自旋磁矩, Spin magnetic moment)
(矩磁材料, Rectangular magnetic material)
(交换耦合, Exchange coupling)
(磁场强度, Magnetic field strength)
(磁芯外半径, Outer radius of magnetic core)
(磁场线, Magnetic field lines)
(磁芯材料的矫顽力, Coercive force of magnetic core material)
(磁芯材料, Magnetic core material)
(外磁场, External magnetic field)
(磁畴, Magnetic domain)
(磁芯, Magnetic core)
(无限长载流直导线, Infinite long current-carrying wire)
(电流, Current)
(磁性, Magnetism)
(同心圆, Concentric circles)
(安培环路定理, Ampere's circuital law)
(峰值, Peak value)
(无限长载流直导线, Infinite long current-carrying straight wire)
(铁磁质, Ferromagnetic material)
(磁滞现象, Hysteresis)
(矫顽力, Coercive force)
