(电子逸出, Electron emission)
(照射光的频率, Frequency of incident light)
(光强, Light intensity)
(红限AD, Red limit AD)
(光电流, Photoelectric current)
(频率, Frequency)
(圆满的解释, Satisfactory explanation)
(红限, Red limit)
(截止频率, Cutoff frequency)
(发射, Emission)
(逸出功, Work function)
(积累, Accumulation)
(阳极, Anode)
(光电子, Photoelectron)
(金属, Metal)
(光电子几乎即时发射, Almost instantaneous emission of photoelectrons)
(饱和电流, Saturation current)
(经典电磁波理论, Classical electromagnetic wave theory)
(Jim, Jim)
(遏止电压, Stopping voltage)
(光电效应, Photoelectric effect)
(伏安特性曲线, Volt-ampere characteristic curve)
(阴极, Cathode)
(光强增大, Increase in light intensity)
(照射光, Incident light)
(初动能, Initial kinetic energy)
(滞后时间, Lag time)
(即时的, Instantaneous)
(暹止电运, Stopping potential)
(1014出, 1014 emission)
