(导体, Conductor)
(计算K, Calculating K)
(变化的磁场, Changing magnetic field)
(闭合路径, Closed path)
(积分, Integration)
(曲面, Surface)
(导体棒, Conductor rod)
(保守场, Conservative field)
(顺时针方向, Clockwise direction)
(有旋电场, Rotational electric field)
(髙斯定理, Gauss's theorem)
(匀强磁场, Uniform magnetic field)
(大小, Magnitude)
(感生电动势, Induced electromotive force)
(积分路径, Integration path)
(平面, Plane)
(具体条件, Specific conditions)
(非闭合导体, Non-closed conductor)
(感生电动势方向的确定, Determination of the direction of induced electromotive force)
(闭合, Closed)
(法线, Normal)
(磁通量, Magnetic flux)
(绕行正方向, Direction of integration)
(电场线形状, Shape of electric field lines)
(法线方向, Normal direction)
(面积相关, Area-related)
(辅助线, Auxiliary line)
(积分面积, Integration area)
(高斯定理, Gauss's theorem)
(环路定理, Loop theorem)
(电势差, Potential difference)
(楞次定律, Lenz's law)
(无限长直螺线管, Infinite straight solenoid)
(电场性质, Electric field property)
(非保守场, Non-conservative field)
(方向, Direction)
(平移, Translation)
(电场强度, Electric field strength)
(静止的电荷, Stationary charge)
(轴对称性, Axial symmetry)
(静电场, Static electric field)
(麦克斯韦, Maxwell)
(法拉第电磁感应定律, Faraday's law of electromagnetic induction)
(右手螺旋法则, Right-hand screw rule)
(感应电流, Induced current)
(对称性, Symmetry)
(闭合回路, Closed loop)
(逆时针方向, Counterclockwise direction)
(激发方式, Excitation mode)
(包围面积, Enclosed area)
(式(11.12), Equation (11.12))
(电动势, Electromotive force)
