(原子, Atom)
(相对性, relativity)
(绝对静止, absolute rest)
(极坐标系, polar coordinate system)
(理想模型, Ideal model)
(轨道, trajectory)
(坐标系, Coordinate system)
(球坐标系, spherical coordinate system)
(运动规律, Motion law)
(位置, position)
(学习, Study)
(理想气体, Ideal gas)
(自然界, Nature)
(地球, Earth)
(公转, Revolution)
(研究问题的方法, Research method for problems)
(索道, cableway)
(物理模型, Physical model)
(依据, Basis)
(刚体, Rigid body)
(宇宙, universe)
(参考系, reference frame)
(物体, object)
(物质, matter)
(滑道, slide)
(弹性体, Elastic body)
(读者, Reader)
(参考系, Reference frame)
(大小, Size)
(物理学, Physics)
(自转, Rotation)
(适用条件, Applicable conditions)
(铁轨, railway track)
(运动状态, Motion state)
(自然坐标系, natural coordinate system)
(运动, motion)
(形状, Shape)
(点电荷, Point charge)
(机械运动, mechanical motion)
(绝对黑体, Black body)
(物体, Object)
(规律, Law)
(质点, Particle)
(柱坐标系, cylindrical coordinate system)
(轴对称性, axial symmetry)
(科学思维方法, Scientific thinking method)
(球对称性, spherical symmetry)
(力学研究对象, Object of mechanical research)
(实践, Practice)
(直角坐标系, rectangular coordinate system)
(忽略, Ignore)
(质点, particle)
(太阳, Sun)
(坐标系, coordinate system)
(离心轨道, centrifugal orbit)
(流体, Fluid)
(物质, Matter)
