(分离变量, Separation of variables)
(变量代换, Variable substitution)
(力矩的元功, Elemental work of torque)
(转动定律, Rotational law)
(内力, Internal force)
(定轴转动的动能定理, Kinetic energy theorem for rotational motion about a fixed axis)
(非刚体, Non-rigid body)
(刚体绕定轴转动的动能定理, Kinetic energy theorem for rigid body rotation about a fixed axis)
(合外力矩的功, Work done by net external torque)
(刚体绕定轴转动动能定理, Kinetic energy theorem for rigid body rotation about a fixed axis)
(外力, External force)
(合外力矩, Net external torque)
(质点系的动能定理, Kinetic energy theorem for a system of particles)
(角速度, Angular velocity)
(刚体绕定轴转动的功能关系, Functional relationship of rigid body rotation about a fixed axis)
