(分布情况, distribution)
(电势, Electric potential)
(导体球, conductor sphere)
(电场强度, electric field strength)
(运动周期, Period of motion)
(任意形状的带电体之间的作用力, Force between charged objects of any shape)
(电子, electron)
(质子, proton)
(牛顿万有引力定律, Newton's law of universal gravitation)
(带电体的大小, Size of charged object)
(静电力叠加原理, Principle of superposition of electrostatic forces)
(质量, mass)
(电荷, charge)
(相似之处, similarities)
(带电体, Charged object)
(世界, world)
(不同之处, differences)
(符号颠倒, reversal of symbols)
(带电粒子, charged particle)
(静电力, electrostatic force)
(点电荷, Point charge)
(相接触, in contact)
(库仑定律, Coulomb's law)
(电场强度, Electric field strength)
(电荷均勾分布的球壳, spherical shell with uniformly distributed charge)
(受力情况, force situation)
(圆周运动的半径与周期的关系, Relationship between radius and period of circular motion)
(圆周运动, Circular motion)
