(振幅, Amplitude)
(速度方程式, Velocity equation)
(运动学方程式, Kinematic equation)
(弹簧振子运动学方程式, Spring oscillator kinematic equation)
(频率, Frequency)
(谐振动, Harmonic motion)
(同相, In phase)
(实验曲线, Experimental curve)
(相位差, Phase difference)
(振动方程, Vibration equation)
(起始条件, Initial conditions)
(弹簧振子, Spring oscillator)
(角频率, Angular frequency)
(初始条件, Initial conditions)
(周期和振幅, Period and amplitude)
(中点, Midpoint)
(单位, Unit)
(初相, Initial phase)
(速度, Velocity)
(质量, Mass)
(位移-时间曲线, Displacement-time curve)
(劲度系数, Spring constant)
(谐振动, Harmonic oscillation)
(反相, Out of phase)
(振子的速度方程, Oscillator velocity equation)
(相位, Phase)
(加速度, Acceleration)
(加速度方程, Acceleration equation)
(周期, Period)
