(转动中的惯性, Inertia in rotation)
(线密度, Linear density)
(转动惯量的定义式, Definition formula of moment of inertia)
(薄圆盘, Thin disk)
(面分布的刚体, Rigid body with surface distribution of mass)
(转动惯量, Moment of inertia)
(质心, Center of mass)
(密度, Density)
(转动惯量的有用性, Usefulness of moment of inertia)
(质量密度, Mass density)
(质量分布, Mass distribution)
(牛顿第二定律, Newton's second law)
(转轴, Axis of rotation)
(面密度, Surface density)
(刚体定轴转动定律, Law of rotational motion of rigid bodies)
(转动惯量的定义式, Definition of moment of inertia)
(转动惯量对转动的作用, Effect of moment of inertia on rotation)
(体密度, Volume density)
(转动惯量的大小决定因素, Factors determining the magnitude of moment of inertia)
(转动状态, Rotational state)
(质点的质量, Mass of a particle)
(大小, Size)
(平行轴定理, Parallel axis theorem)
(角加速度, Angular acceleration)
(转动惯量计算, Calculation of moment of inertia)
(形状, Shape)
(圆环, Ring)
(常见刚体的转动惯量, Moment of inertia of common rigid bodies)
(细杆, Thin rod)
(力矩, Torque)
(实心圆柱, Solid cylinder)
(转动惯量叠加定理, Addition theorem of moment of inertia)
(体分布的刚体, Rigid body with volume distribution of mass)
(转动惯量的物理意义, Physical meaning of moment of inertia)
(飞轮, Flywheel)
(转动惯量的计算, Calculation of moment of inertia)
(总质量, Total mass)
(线分布的刚体, Rigid body with linear distribution of mass)
