(振幅, Amplitude)
(波, Wave)
(临界阻尼, Critical damping)
(介质阻力, Medium resistance)
(衰减振动, Damped vibration)
(能量补充, Energy supplement)
(运动规律, Motion law)
(大阻尼状态, High damping state)
(库仑干摩擦, Coulomb dry friction)
(弹簧振子, Spring oscillator)
(能量转化, Energy conversion)
(微分方程, Differential equation)
(弹簧门, Spring door)
(小阻尼情况, Small damping)
(机械能, Mechanical energy)
(消振油缸, Vibration damping cylinder)
(临界阻尼系统, Critical damping system)
(周期, Period)
(大阻尼, Large damping)
(线性弹簧振子, Linear spring oscillator)
(速度, Velocity)
(精密天平, Precision balance)
(阻尼振动, Damped oscillation)
(通解, General solution)
(谐振动, Harmonic oscillation)
(自由振动, Free oscillation)
(阻力, Resistance)
(指针式测量仪表, Pointer measurement instrument)
(耗散, Dissipation)
(粘滞阻尼, Viscous damping)
