(右手螺旋法则, Right-hand rule)
(运动电荷, Moving charge)
(光速, Speed of light)
(带电粒子, Charged particle)
(载流子, Charge carrier)
(位矢, Position vector)
(电流, Electric current)
(电荷定向运动速度, Speed of charged particle)
(毕-萨定律, Biot-Savart law)
(电感应强度, Magnetic induction)
(磁感应强度, Magnetic induction)
(电流强度, Current intensity)
(磁场, Magnetic field)
(带电细棒, Charged rod)
(电流元, Current element)
(磁感应强度大小, Magnitude of magnetic induction)
(电场和磁场之间的关系, Relationship between electric field and magnetic field)
(电场强度, Electric field strength)
(电场, Electric field)
(电荷正负, Charge polarity)
(夹角, Angle)
(电荷运动速度, Charge velocity)
