(横波, Transverse wave)
(电磁场, electromagnetic field)
(辐射功率, radiated power)
(介电常量, Permittivity)
(幅值, Amplitude)
(真空中的光速, Speed of light in vacuum)
(光振动, Light vibration)
(磁场强度, Magnetic field intensity)
(振幅矢量, Amplitude vector)
(能量密度, energy density)
(感光器件, Photosensitive device)
(各向同性介质, isotropic medium)
(光矢量, Light vector)
(辐射, radiation)
(最大磁感应强度, maximum magnetic induction intensity)
(能量传播, energy propagation)
(磁场强度, Magnetic field strength)
(能流密度, power density)
(电磁波强度, electromagnetic wave intensity)
(磁导率, Permeability)
(电磁波传播, Electromagnetic wave propagation)
(最大电场强度, maximum electric field strength)
(右螺旋关系, right-handed helix relationship)
(率, rate)
(平均能流密度, average power density)
(平均能流密度, Average power density)
(波速, wave speed)
(电磁能量传播方向, direction of electromagnetic energy propagation)
(电磁波, electromagnetic wave)
(偏振性, Polarization)
(传播速率, Propagation speed)
(光学效应, Optical effect)
(电场强度, Electric field intensity)
(非铁磁质, non-magnetic material)
(电场强度, Electric field strength)
(能流密度矢量形式, vector form of power density)
(辐射能, radiation energy)
(相位, Phase)
(电场矢量振幅, electric field vector amplitude)
(平面简谐电磁波, Plane harmonic electromagnetic wave)
(坪, ping)
(频率, frequency)
