(相对性原理, principle of relativity)
(时空的属性, Properties of spacetime)
(狭义相对论, Special relativity)
(惯性系, Inertial frame)
(运动长度, moving length)
(洛伦兹变换, Lorentz transformation)
(视觉形象, Visual image)
(长度收缩公式, length contraction formula)
(宇宙飞船, spaceship)
(相对物体静止的惯性系, Inertial frame where the object is at rest)
(S'系, S' system)
(光脉冲, light pulse)
(空间间隔, spatial interval)
(伽利略变换, Galilean transformation)
(爱因斯坦火车, Einstein train)
(S系, S system)
(静止长度, Rest length)
(长度收缩, Length contraction)
(同时测量, simultaneous measurement)
(光速, speed of light)
(运动物体的长度, length of moving object)
(运动方向, Direction of motion)
(空间距离, spatial distance)
(物质间的相互作用, Interaction between matter)
(空间位置, Spatial position)
(经典力学, Classical mechanics)
(光, Light)
(固有长度, proper length)
(视网膜, Retina)
(时空坐标, spacetime coordinates)
(空间间隔, Space interval)
(长度的相对性, Relativity of length)
(运动长度, Moving length)
(固有长度, Proper length)
