(振幅, Amplitude)
(精度, Accuracy)
(转动惯量, Moment of inertia)
(谐振动, Harmonic motion)
(逐次逼近法, Successive approximation method)
(频率, Frequency)
(修正项, Correction term)
(单摆, Pendulum)
(角频率, Angular frequency)
(非线性项, Nonlinear term)
(基频, Fundamental frequency)
(谐振动, Simple harmonic motion)
(谐波, Harmonic)
(等时性, Isochronism)
(复摆, Compound pendulum)
(摆动, Swing)
(重力, Gravity)
(简谐振动, Simple harmonic motion)
(摆角, Amplitude)
(非线性微分方程, Nonlinear differential equation)
(近似解, Approximate solution)
(误差, Error)
(三次谐频, Third harmonic frequency)
(周期, Period)
