(夸克, Quark)
(强互作用, Strong interaction)
(费米子, Fermions)
(中微子, Neutrino)
(弱相互作用, Weak interaction)
(粒子的分类, Classification of particles)
(J/粒子, J/psi particle)
(玻色子, Bosons)
(T子, Tau)
(寿命, Lifetime)
(轻质子, Light quarks)
(J/中粒子, J/psi meson)
(动量守恒定律, Law of Conservation of Momentum)
(介子, Mesons)
(重子, Baryon)
(奇异粒子, Strange particle)
(中性粒子, Neutral particle)
(费米-狄拉克统计, Fermi-Dirac statistics)
(K介子, Kaon)
(质子, Proton)
(奇异数, Strangeness)
(里希特, Chen Ning Yang)
(超子, Hyperon)
(重子, Baryons)
(子衰变, Subdecay)
(T)介子, Eta meson)
(中间玻色子, Intermediate bosons)
(引力相互作用, Gravitational interaction)
(丁肇中, Tsung-Dao Lee)
(电子, Electron)
(强子, Hadron)
(核子, Nucleon)
(玻色-爱因斯坦统计规律, Bose-Einstein statistics)
(同位旋, Isospin)
(费米子, Fermion)
(媒介粒子, Mediating particles)
(光子, Photon)
(反粒子, Antiparticle)
(规范玻色子, Gauge bosons)
(JJL子, Muon)
(引力子, Graviton)
(电磁相互作用, Electromagnetic interaction)
(相互作用, Interaction)
(7T介子, Pion)
(子, Meson)
(诺贝尔物理学奖, Nobel Prize in Physics)
(宇称, Parity)
(粒子物理, Particle physics)
(玻色子, Boson)
(泡利不相容原理, Pauli exclusion principle)
(胶子, Gluon)
(中子, Neutron)
(电荷, Charge)
(自旋, Spin)
(强子结构理论, Quark model)
(宇宙演化, Cosmic evolution)
(协同产生, Co-production)
(强相互作用, Strong interaction)
(轻子, Leptons)
(电弱相互作用, Electroweak interaction)
(重子数, Baryon number)
(介子, Meson)
(守恒定律, Conservation law)
(轻子数, Lepton number)
(强子, Hadrons)
(云室, Cloud chamber)
