(氢原子光谱, Hydrogen atom spectrum)
(绝缘体、导体和半导体, Insulator, conductor, and semiconductor)
(激光特性, Characteristics of laser)
(满足阈值条件, Meeting the threshold condition)
(普朗克常量, Planck constant)
(光电效应方程, Photoelectric effect equation)
(微观粒子的波粒二象性, Wave-particle duality of microscopic particles)
(激光器, Laser)
(相干性, Coherence)
(斯特藩-玻耳兹曼定律, Stefan-Boltzmann law)
(维恩位移定律, Wien's displacement law)
(粒子数反转分布, Population inversion)
(黑体辐射, Blackbody radiation)
(激光谐振腔, Laser resonator)
(半导体, Semiconductor)
(光通讯, Optical communication)
(激光工作物质, Laser gain medium)
(激光谱线的宽度, Width of laser spectrum line)
(激光全息技术, Laser holography)
(非接触加工, Non-contact processing)
(自发辐射, Spontaneous emission)
(受激辐射, Stimulated emission)
(精密测量, Precision measurement)
(辐射公式, Radiation formula)
(固体能带结构, Solid band structure)
(自发辐射和受激辐射, Spontaneous emission and stimulated emission)
(化学, Chemistry)
(激光的应用, Applications of lasers)
(四个量子数, Four quantum numbers)
(生物, Biology)
(康普顿散射, Compton scattering)
(农学, Agriculture)
(谐振腔, Resonator cavity)
(军事应用, Military applications)
(激光器的基本组成, Basic components of a laser)
(高定向, High directionality)
(晶体结构的最基本特征, The most basic characteristics of crystal structure)
(光缆, Optical fiber)
(激励能源, Excitation energy)
(激光工作物质, Laser working material)
(产生激光的两个必要条件, Two necessary conditions for laser generation)
(能量子, Quantum of energy)
(相干光, Coherent light)
(医学, Medicine)
(光电效应, Photoelectric effect)
(普通光源, Ordinary light source)
(激光的纵模数, Longitudinal mode number of a laser)
(光的波粒二象性, Wave-particle duality of light)
(普朗克量子假设, Planck's quantum hypothesis)
(高定向性, High directionality)
(相邻两纵模间隔, Spacing between adjacent longitudinal modes)
(激光的特性, Characteristics of laser)
(高亮度, High brightness)
(介质内部实现粒子数反转, Achieving population inversion inside the medium)
(计量标准, Metrological standards)
(薛定谔方程, Schrodinger equation)
(高单色性, High monochromaticity)
