(圆纹间距, Spacing of interference fringes)
(光波列, Light wave train)
(15.38d的大小, Size of 15.38d)
(绕射, Diffraction)
(影响, Impact)
(干涉, Interference)
(光的衍射规律, Laws of diffraction of light)
(干涉级次, Interference order)
(15.7光的衍射惠更斯-非涅耳原理, Diffraction of light Huygens-Fresnel principle)
(镉灯作光源, Cadmium lamp as light source)
(激光, Laser)
(时间相干性, Temporal coherence)
(水波, Water waves)
(干涉现象, Interference phenomenon)
(圆纹的疏密, Density of circular fringes)
(相干长度和谱线宽度的关系, Relationship between coherence length and spectral line width)
(补偿板, Compensating plate)
(单色性, Monochromaticity)
(15.40相干时间, Coherence time)
(波列长度, Wave packet length)
(菲涅尔, Fresnel)
(光的衍射现象, Diffraction of light)
(等倾干涉圆纹, Equal inclination interference fringes)
(相干时, Coherence time)
(迈克耳孙干涉实验, Michelson interference experiment)
(谱线宽度, Spectral line width)
(最短标准具长度, Length of shortest standard gauge)
(条纹变动数目, Number of fringe variations)
(无线电波, Radio waves)
(波线, Wavefront)
(波动性, Wave nature)
(15.39一次迈克尔孙干涉实验, Michelson interference experiment)
(玻璃板, Glass plate)
(声波, Sound waves)
(千涉条纹, Interference fringes)
(薄膜等厚干涉, Thin film interference)
(波长, Wavelength)
(相干长度, Coherence length)
(光程差, Optical path difference)
