(转动惯量, Moment of inertia)
(月球表面, Lunar surface)
(扭转形变, Torsional deformation)
(扭摆, Torsion pendulum)
(频率, Frequency)
(空气质点, Air particle)
(轨迹, Trajectory)
(扭转系数, Torsional coefficient)
(相互垂直的谐振动的合成, Composition of mutually perpendicular harmonic oscillations)
(剪切弹性模量, Shear modulus)
(电工学, Electrical engineering)
(椭圆规, Elliptical compass)
(同方向谐振动的合成, Composition of co-directional harmonic oscillations)
(棒, Rod)
(光学, Optics)
(弹性回复力矩, Elastic restoring torque)
(角频率, Angular frequency)
(重力加速度, Gravity acceleration)
(无线电技术, Radio technology)
(温度, Temperature)
(简谐振动的合成, Composition of harmonic oscillations)
(相互垂直的谐振动的合成, Composition of oscillations perpendicular to each other)
(同方向谐振动的合成, Composition of oscillations in the same direction)
(单摆, Simple pendulum)
(复摆, Compound pendulum)
(月球探险者, Lunar explorer)
(画笔, Brush)
(水平均质圆盘, Horizontal uniform disk)
(振动合成, Composition of oscillations)
(质点, Particle)
(椭圆规, Elliptical rule)
(谐振动, Harmonic oscillation)
(均质细杆, Homogeneous slender rod)
(声学, Acoustics)
(声波, Sound wave)
(周期, Period)
(金属丝, Metal wire)
