(波函数, Wave function)
(概率密度, Probability density)
(干涉项, Interference term)
(概率波, probability wave)
(概率总和, Sum of probabilities)
(薛定谔方程, Schrödinger equation)
(双缝干涉实验, double-slit interference experiment)
(条件, Conditions)
(波函数叠加, Superposition of wave functions)
(物质波, matter wave)
(态叠加原理, Principle of superposition of states)
(叠加原理, Superposition principle)
(粒子性与波动性的统一, unity of particle nature and wave nature)
(概率分布, Probability distribution)
(双缝衍射, Double-slit diffraction)
(波函数的统计解释, Statistical interpretation of wave function)
(连续变化, Continuous variation)
(物理意义, Physical meaning)
