(最大, maximum)
(光强, Light intensity)
(光波的相干叠加, Coherent superposition of light waves)
(频率, Frequency)
(合光强, total intensity of light)
(线性介质, Linear medium)
(初相位, Initial phase)
(光的干涉现象, interference of light)
(非相干叠加, incoherent superposition)
(A, A)
(干涉现象, Interference phenomenon)
(光波, Light wave)
(振幅矢量, Amplitude vector)
(合光强, Total light intensity)
(光矢量, Light vector)
(4, 4)
(得, obtain)
(光波叠加区域, region of superposition of light waves)
(相干光, coherent light)
(图15.8, Figure 15.8)
(相干叠加, coherent superposition)
(明暗对比度, contrast of brightness)
(区别, difference)
(电磁波, Electromagnetic wave)
(Pmin, Pmin)
(相干条件, Coherence condition)
(光强发生重新分布, redistribution of light intensity)
(波的叠加, Wave superposition)
(分光强, intensity of individual light waves)
(时, when)
(光波的非相干叠加, Incoherent superposition of light waves)
