(致冷循环, Refrigeration cycle)
(吸热, Heat absorption)
(热力学第一定律, First law of thermodynamics)
(奥托循环, Otto cycle)
(蒸发器, Evaporator)
(制冷剂, Refrigerant)
(内燃机, Internal combustion engine)
(热力学第二定律, Second law of thermodynamics)
(热量, Heat)
(p-V图, p-V diagram)
(作功, Work done)
(传热, Heat transfer)
(毛细管, Capillary tube)
(致冷系数, COP)
(温差, Temperature difference)
(能量守恒定律, Law of conservation of energy)
(压缩式, Compression type)
(空调器, Air conditioner)
(等压过程, Isobaric process)
(干燥器, Dryer)
(氨气, Ammonia)
(电冰箱, Electric refrigerator)
(卡诺热机, Carnot engine)
(功率, Power)
(汽油机, Gasoline engine)
(效率, Efficiency)
(冷凝器, Condenser)
(热泵, Heat pump)
(循环, Cycle)
(循环效率, Cycle efficiency)
(电冰箱, Refrigerator)
(工质, Working fluid)
(热泵系数, Coefficient of performance)
(氟里昂, Freon)
(冷暖双制空调, Air conditioner for cooling and heating)
(可逆过程, Reversible process)
(卡诺致冷机, Carnot refrigerator)
(等温过程, Isothermal process)
(致冷系数, Coefficient of refrigeration)
(放热, Heat release)
(等体过程, Isochoric process)
