(水, Water)
(大和小, Large and small)
(左右反转, Left-right reversal)
(表14.3, Table 14.3)
(色散像差, Chromatic aberration)
(距球心, Distance from the center of the sphere)
(薄透镜, Thin lens)
(浸泡, Immerse)
(大小, Size)
(放大率, Magnification ratio)
(物体, Object)
(虚像, Virtual image)
(连续变化, Continuous change)
(虚焦点, Virtual focus)
(平面镜, Plane mirror)
(反射定律, Law of reflection)
(广角后视镜, Wide-angle rearview mirror)
(缩小, Reduced)
(两平面反射镜, Two plane mirrors)
(光轴, Optical axis)
(凹球面反射镜, Concave spherical mirror)
(反射镜, Reflecting mirror)
(光路图, Ray diagram)
(兔平面镜, Plane mirror)
(像距, Image distance)
(缩小, Reduction)
(球面像差, Spherical aberration)
(房中相对悬挂的平面镜, Plane mirror hanging in the room)
(焦点, Focus)
(放大率, Magnification)
(凹面镜, Concave mirror)
(正立, Upright)
(凸球面反射镜, Convex spherical mirror)
(位置方位(倒立、正立), Position orientation (inverted, upright))
(实焦点, Real focus)
(物距, Object distance)
(像较暗, Dimmer image)
(楠球, Ellipsoidal surface)
(光线聚焦, Light focusing)
(倒立正立, Inverted upright)
(上下反转, Top-bottom reversal)
(主光线, Principal ray)
(凹球面镜, Concave spherical mirror)
(凹, Concave)
(物像公式, Formula for image formation)
(放大, Magnification)
(像点, Image point)
(像, Image)
(球壳, Spherical shell)
(倒立, Inverted)
(光线, Ray)
(实像, Real image)
(光的反射定律, Law of reflection)
(抛物面, Parabolic surface)
(放大, Enlarged)
(符号规则, Symbol rules)
(阳光点火, Ignite with sunlight)
(实像位置, Position of real image)
(球面反射镜, Spherical mirror)
(傍轴近似, Paraxial approximation)
(物点, Object point)
(凸球面反射镜, Convex spherical reflecting mirror)
(无限远处, Infinity)
(曲率半径, Radius of curvature)
(无穷大, Infinity)
(凹球面反射镜, Concave spherical reflecting mirror)
(条件, Conditions)
(位置类型(虚、实), Position type (virtual, real))
(凸, Convex)
(等距离, Equal distance)
(非球面反射镜, Non-spherical reflecting mirror)
(光源, Light source)
(放大缩小, Magnification)
(凹面反射镜, Concave mirror)
(像高, Image height)
(球面反射镜, Spherical reflecting mirror)
(焦距, Focal length)
