(简谐波, Simple harmonic wave)
(电磁场, Electromagnetic field)
(弹性介质, Elastic medium)
(机械波, Mechanical wave)
(波源, Wave source)
(地震波, Seismic wave)
(水波, Water wave)
(x射线, X-ray)
(概率波, Probability wave)
(能量传播, Energy propagation)
(光波, Light wave)
(真空, Vacuum)
(y射线, Gamma ray)
(微观领域, Microscopic field)
(牛顿力学定律, Newton's laws of motion)
(力学, Mechanics)
(点阵波, Lattice wave)
(信息传递, Information transmission)
(无线电波, Radio wave)
(电磁波, Electromagnetic wave)
(微观粒子, Microscopic particle)
(介质, Medium)
(声波, Sound wave)
(波动, Wave)
(物质波, Particle wave)
(绳中波, Wave in a rope)
(量子力学, Quantum mechanics)
(振动, Vibration)
