(相干光源, Coherent light sources)
(等光程性, Equal optical path length)
(杨氏双缝实验, Young's double-slit experiment)
(分振幅方法, Amplitude splitting method)
(分振幅行为, Amplitude division behavior)
(干涉, Interference)
(光强, Intensity of light)
(相位差, Phase difference)
(等倾干涉, Equal inclination interference)
(折射率测量, Refractive index measurement)
(杨氏干涉实验, Young's interference experiment)
(薄透镜, Thin lens)
(折射, Refraction)
(光程概念, Concept of optical path)
(费马原理, Fermat's principle)
(干涉条纹, Interference fringes)
(等厚干涉, Equal thickness interference)
(衍射现象, Diffraction phenomenon)
(透明的介质薄膜, Transparent medium film)
(观察, Observation)
(薄膜干涉, Film interference)
(相干光, Coherent light)
(光程, Optical path)
(反射, Reflection)
(形状, Shape)
(薄膜厚度, Film thickness)
(折射率, Refractive index)
(薄膜厚度, Thickness of the film)
(分振幅装置, Amplitude division device)
(波长, Wavelength)
(干涉过程, Interference process)
(光程差, Optical path difference)
(光源尺寸, Light source size)
