(右手螺旋法则, Right-hand rule)
(安培环路定理, Ampere's Circuital Law)
(稳恒磁场, Steady magnetic field)
(变化的磁场, Changing magnetic field)
(闭合路径, Closed path)
(稳恒电流, Steady current)
(无旋场, Irrotational field)
(验证, Verification)
(直线电流, Straight current)
(环流, Loop current)
(有旋场, Rotational field)
(保守场, Conservative field)
(无限长载流直导线, Infinite straight current-carrying wire)
(电流, Electric current)
(静电场, Electric field)
(线积分, Line integral)
(磁场的高斯定理, Gauss's law for magnetism)
(垂直平面, Vertical plane)
(环流, Circulation)
(磁感应强度, Magnetic induction)
(安培环路定理, Ampere's circuital law)
(静电场, Static electric field)
(真空磁导率, Vacuum permeability)
