(摩擦系数, Coefficient of friction)
(静摩擦力, Static friction force)
(万有引力, Universal gravitation)
(摩擦力, Frictional force)
(静摩擦系数, Coefficient of static friction)
(牛顿运动定律, Newton's Laws of Motion)
(滑动摩擦力, Sliding friction force)
(摩擦力, Frictional Force)
(被动力, Passive force)
(湿摩擦, Wet friction)
(缆绳的质量和加速运动状态下的张力分布, Mass of the cable and tension distribution under acceleration)
(地球, Earth)
(正压力, Normal force)
(绳子内部各段之间的相互作用力, Mutual interaction forces between different sections of the rope)
(支承力, Support force)
(重力加速度, Gravitational Acceleration)
(力, Force)
(湿摩擦力, Frictional force in fluid)
(摩擦的利弊, Advantages and disadvantages of friction)
(干摩擦, Dry friction)
(吸引力, Attraction)
(拉力, Tensile force)
(干摩擦力, Frictional force in dry condition)
(动力学, Dynamics)
(滑动摩擦系数, Coefficient of sliding friction)
(电磁力, Electromagnetic force)
(重量, Weight)
(弹簧的劲度系数, Spring constant)
(接触力, Contact force)
(重力, Gravity)
(质量, Mass)
(弹性力, Elastic force)
(物体, Object)
(绳索内的张力, Tension in ropes)
(质点, Particle)
(主动力, Active force)
(弹性力, Elastic Force)
(重物对支承面的作用, Action of heavy objects on support surfaces)
(万有引力, Universal Gravitation)
(摩擦力, Friction force)
(轻绳的张力分布, Tension distribution in light ropes)
(弹性形变, Elastic deformation)
(绳子在截面处的张力, Tension in the rope at a cross section)
(非接触力, Non-contact force)
(流体, Fluid)
