(铬, Chromium)
(锂, Lithium)
(氡, Radon)
(铂, Platinum)
(氖, Neon)
(汞, Mercury)
(氟, Fluorine)
(锡, Tin)
(5s壳层, 5s Shell)
(钐, Samarium)
(碳, Carbon)
(4p壳层, 4p Shell)
(钼, Molybdenum)
(2p壳层, 2p Shell)
(锌, Zinc)
(铷, Rubidium)
(钷, Promethium)
(镤, Protactinium)
(铼, Rhenium)
(钯, Palladium)
(Is壳层, Is Shell)
(铯, Cesium)
(锆, Zirconium)
(M壳层, M Shell)
(镝, Dysprosium)
(金, Gold)
(钫, Francium)
(钇, Yttrium)
(钚, Plutonium)
(锝, Technetium)
(铍, Beryllium)
(铌, Niobium)
(氧, Oxygen)
(锘, Nobelium)
(镎, Neptunium)
(锿, Einsteinium)
(周期, Period)
(锇, Osmium)
(原子序数和, Atomic Number)
(钠, Sodium)
(5d壳层, 5d Shell)
(锶, Strontium)
(角量子数, Angular momentum quantum number)
(锫, Berkelium)
(铕, Europium)
(窃, Lawrencium)
(铀, Uranium)
(锞, Nickel)
(2s壳层, 2s Shell)
(铑, Rhodium)
(钡, Barium)
(钛, Titanium)
(钒, Vanadium)
(钬, Holmium)
(铁, Iron)
(原子的电子壳层结构, Atomic electron shell structure)
(祕, Bismuth)
(能量最小原理, Principle of minimum energy)
(表16.4原子中电子按壳层排布表, Table 16.4: Electron Arrangement in Atoms by Shell)
(3s壳层, 3s Shell)
(锕, Actinium)
(银, Silver)
(砹, Astatine)
(镅, Americium)
(礼, Gadolinium)
(硅, Silicon)
(钾, Potassium)
(卿, Arsenic)
(4s壳层, 4s Shell)
(氦, Helium)
(镰, Ytterbium)
(碲, Tellurium)
(氪, Krypton)
(5p壳层, 5p Shell)
(元素名称, Element Name)
(锸, Radium)
(溴, Bromine)
(化学符号, Chemical Symbol)
(依, Iridium)
(硫, Sulfur)
(铥, Thulium)
(铽, Terbium)
(镁, Magnesium)
(氢, Hydrogen)
(钴, Cobalt)
(锎, Californium)
(铅, Lead)
(铝, Aluminum)
(支壳层, Subshell)
(错, Praseodymium)
(镧, Lanthanum)
(钕, Neodymium)
(锗, Germanium)
(镓, Gallium)
(铒, Erbium)
(3p壳层, 3p Shell)
(各电子壳层上的电子数, Number of Electrons in Each Electron Shell)
(5f壳层, 5f Shell)
(硒, Selenium)
(钙, Calcium)
(4d壳层, 4d Shell)
(氯, Chlorine)
(L壳层, L Shell)
(K壳层, K Shell)
(硼, Boron)
(锰, Manganese)
(镥, Lutetium)
(3d壳层, 3d Shell)
(N壳层, N Shell)
(锔, Curium)
(壳层, Shell)
(4f壳层, 4f Shell)
(氮, Nitrogen)
(钢, Indium)
(镄, Fermium)
(柿, Cerium)
(6s壳层, 6s Shell)
(铊, Thallium)
(磷, Phosphorus)
(钽, Tantalum)
(钨, Tungsten)
(氩, Argon)
(锑, Antimony)
(铜, Copper)
(钔, Mendelevium)
(钍, Thorium)
(镉, Cadmium)
(抗, Scandium)
(泡利不相容原理, Pauli exclusion principle)
(主量子数, Principal quantum number)
(续表, Continuation of Table)
(碘, Iodine)
(氙, Xenon)
