(导体, Conductor)
(静电屏蔽, Electrostatic shielding)
(电荷面密度, Charge surface density)
(电势, Electric potential)
(电场强度分布, Electric field distribution)
(静电平衡, Static equilibrium)
(避雷针, Lightning rod)
(引力和静电力服从平方反比律, Gravitational and electrostatic forces obey the inverse square law)
(感应电荷, Induced charge)
(电势分布, Potential distribution)
(静电感应, Electrostatic induction)
(电荷分布, Charge distribution)
(导体表面上电场强度的大小, Magnitude of electric field intensity on the surface of a conductor)
(导体表面上电荷的均匀分布, Uniform distribution of charge on the surface of a conductor)
(曲率, Curvature)
(尖端放电, Corona discharge)
(自由电子, Free electrons)
(引力场和静电场的重要差别, Important differences between gravitational field and electrostatic field)
(金属壳, Metal shell)
(电荷守恒定律, Law of conservation of charge)
(高斯定理, Gauss's theorem)
(电势, Potential)
(静电平衡, Electrostatic equilibrium)
(电势差, Potential difference)
(电场强度, Electric field strength)
(电场, Electric field)
(净电荷, Net charge)
(引力场的屏蔽, Shielding of gravitational field)
(带电导体的等势面, Equipotential surface of a charged conductor)
