(单位长度, unit length)
(圆柱导体, Cylindrical conductor)
(安培, ampere)
(相互作用力, Interaction force)
(超导材料, Superconducting material)
(相互作用力, interaction force)
(距离, distance)
(磁力, Magnetic force)
(半圆弧, Semicircle)
(安培力公式, Ampere's law)
(功, Work)
(磁力矩, Magnetic torque)
(坐标系, Coordinate system)
(磁感应强度, magnetic induction)
(线圈, Coil)
(伏特计, Voltmeter)
(矢量积分, Vector integration)
(力矩, torque)
(稳定平衡状态, Stable equilibrium state)
(磁力矩最大, Maximum magnetic moment)
(磁力作功, Magnetic work)
(导线, Wire)
(非均匀磁场, Non-uniform magnetic field)
(电磁推进, Electromagnetic propulsion)
(安培力, Ampere's force)
(导线, wire)
(载流导线, Current-carrying wire)
(磁矩, magnetic moment)
(平行导轨, Parallel rails)
(磁电式电流计, Electrodynamometer)
(磁矩, Magnetic moment)
(无限长直导线, Infinite straight wire)
(磁偶极子, Magnetic dipole)
(引力, attraction)
(平面载流线圈, Planar current loop)
(载流细直导线, Current-carrying straight wire)
(矩形线圈, Rectangular coil)
(轨道炮, Railgun)
(势能, Potential energy)
(直角坐标系, Cartesian coordinate system)
(磁感应强度, Magnetic induction)
(单位, Unit)
(磁场, Magnetic field)
(电磁泵, Electromagnetic pump)
(电磁推进器, Electromagnetic thruster)
(安培计, Ammeter)
(斥力, repulsion)
(电流强度, current intensity)
(不稳定平衡状态, Unstable equilibrium state)
(载流线圈, current-carrying coil)
(载流线圈, Current-carrying coil)
(电流元, Current element)
(电流, Current)
(微小扰动, Small disturbance)
(力矩, Torque)
(磁场, magnetic field)
(安培力, Ampere force)
(总作用力, Total force)
(夹角, Angle)
(磁场力, Magnetic force)
(圆电流, Circular current)
(磁力矩, Magnetic moment)
(安培力计算, Ampere's force calculation)
(真空磁导率, vacuum permeability)
(安培力公式, Ampere's force formula)
