(驻波, Standing wave)
(共振, Resonance)
(频率, Frequency)
(谐频, Harmonic frequency)
(相位差, Phase difference)
(位移, Displacement)
(能量, Energy)
(波腹, Antinode)
(波长, Wavelength)
(小提琴弦, Violin string)
(波速, Wave speed)
(波程差, Path difference)
(多普勒效应, Doppler effect)
(驻波条件, Standing wave condition)
(能量传播, Energy propagation)
(驻波图样, Standing wave pattern)
(特点, Characteristics)
(基频, Fundamental frequency)
(相干波, Coherent waves)
(行波, Progressive wave)
(弦长, String length)
(绳中驻波, Standing waves in a rope)
(波节, Node)
(半波损失, Half-wave loss)
(本征频率, Natural frequency)
(图13.30, Figure 13.30)
(张力, Tension)
(质量, Mass)
(波动方程, Wave equation)
(分布, Distribution)
(声波, Sound wave)
(声速, Speed of sound)
(频闪照片, Stroboscopic photograph)
(驻波方程, Standing wave equation)
