(振幅, Amplitude)
(水平弹簧振子, Horizontal Spring Pendulum)
(余弦函数, Cosine Function)
(胡克定律, Hooke's Law)
(减速运动, Decelerated Motion)
(频率, Frequency)
(劲度系数, Spring Constant)
(小振幅振动, Small Amplitude Vibration)
(位移, Displacement)
(初速, Initial Velocity)
(压缩, Compression)
(合成, Composition)
(符号相反, Opposite signs)
(变形量, Deformation)
(弹簧振子, Spring oscillator)
(弹簧原长, Natural Length of Spring)
(单摆, Pendulum)
(微分方程, Differential equation)
(运动规律, Motion Law)
(加速运动, Accelerated Motion)
(弹簧, Spring)
(角频率, Angular frequency)
(时间曲线, Time curve)
(正弦函数, Sine function)
(谐振动, Harmonic Motion)
(平衡位置, Equilibrium Position)
(力, Force)
(通解, General Solution)
(简谐振动, Simple Harmonic Motion)
(往复运动, Oscillatory Motion)
(余弦函数, Cosine function)
(合力, Net Force)
(惯性, Inertia)
(弹簧振子, Spring Pendulum)
(弹性, Elasticity)
(自由振动, Free Vibration)
(坐标, Coordinate)
(速度, Velocity)
(弹性回复力, Restoring Force)
(质量, Mass)
(正弦, Sine)
(余弦, Cosine)
(谐振动, Harmonic oscillation)
(通解, General solution)
(机械振动, Mechanical Vibration)
(运动微分方程, Differential Equation of Motion)
(正弦函数, Sine Function)
(相位, Phase)
(加速度, Acceleration)
(阻力, Resistance)
(弹簧变形量, Deformation of Spring)
(振动, Vibration)
(动力学特征, Dynamic characteristics)
