(物镜, Objective lens)
(伽利略望远镜, Galilean telescope)
(折射式望远镜, Refracting telescope)
(像方焦面, Image plane)
(望远镜, Telescope)
(角放大率, Angular magnification)
(目镜焦距, Eyepiece focal length)
(放大远处物体的张角, Magnify the angular size of distant objects)
(反射式望远镜, Reflecting telescope)
(折射望远镜, Refracting telescope)
(折射, Refraction)
(入射角, Incident angle)
(收集光束送入人眼, Collect light beams and send them into the human eye)
(看清角距离很小的物体的细节, See the details of objects with small angular distance)
(物镜焦距, Objective lens focal length)
(物镜孔径, Objective lens aperture)
(目镜, Eyepiece)
(倒立的缩小实像, Inverted and reduced real image)
(看到原来看不到的暗弱物体, See dim objects that were previously invisible)
(放大虚像, Magnified virtual image)
