(物质波, matter wave)
(光, light)
(电子, electron)
(驻波条件, standing wave condition)
(波长, wavelength)
(轨道, orbit)
(稳定圆轨道, stable circular orbit)
(波粒二象性, wave-particle duality)
(实物粒子, material particles)
(玻尔量子化条件, Bohr quantization condition)
(原子, atom)
(角动量量子化条件, quantization condition of angular momentum)
(量子化, quantization)
(德布罗意假设, de Broglie hypothesis)
(动量, momentum)
(半径, radius)
(分子, molecule)
(波长的整数倍, integer multiple of wavelength)
(传播, propagation)
(氢原子定态能量, energy of hydrogen atom in a stationary state)
(频率, frequency)
(能量, energy)
