(爱因斯坦光子假说, Einstein's photon hypothesis)
(光电效应方程, Photoelectric effect equation)
(普朗克常量, Planck constant)
(14, 14)
(黑体辐射, Blackbody radiation)
(光电子的最大初动能, Maximum kinetic energy of photoelectrons)
(金属的逸出功, Work function of a metal)
((L0-0.5)x10, (L0-0.5)x10)
(光强与光子数的关系, Relationship between light intensity and number of photons)
(照射频率与光电子初动能的关系, Relationship between incident frequency and initial kinetic energy of photoelectrons)
(h, h)
(A, A)
(光电效应方程的形式, Form of photoelectric effect equation)
(紫外线产生阴极射线, Generation of cathode rays by ultraviolet radiation)
(1,6x10…x2,0, 1.6x10...x2.0)
(癱, paralysis)
(逸出功的测量方法, Methods of measuring work function)
(对照实验曲线, control experimental curve)
(和, and)
(得, obtain)
(m, m)
(光子假说, Photon hypothesis)
(光子, Photon)
(光电效应实验曲线, Photoelectric effect experimental curve)
(光电效应, Photoelectric effect)
(普朗克常童, Planck constant)
(光电效应的实验规律, Experimental laws of photoelectric effect)
(光电效应方程的定义, Definition of photoelectric effect equation)
(光致发光, Photoluminescence)
(a, a)
(光的能量在空间中不是连续分布的假说, Hypothesis that the energy of light is not continuously distributed in space)
(光子假说与光电效应的关系, Relationship between photon hypothesis and photoelectric effect)
