(计算机编程, Computer programming)
(解, Solve)
(消去参数, Eliminate parameters)
(轨迹, Trajectory)
(轨迹方程, Trajectory Equation)
(式(2), Equation (2))
(二维轨迹, 2D trajectory)
(直角坐标系, Cartesian Coordinate System)
(位矢, Position Vector)
(坐标原点, Coordinate Origin)
(投影, Projection)
(大小, Magnitude)
(式(1), Equation (1))
(坐标纸, Coordinate paper)
(参考点, Reference Point)
(逐点求出, Calculate point by point)
(轨迹方程, Trajectory equation)
(方向, Direction)
(二维平面, Two-dimensional Plane)
(参数, Parameters)
(方向余弦, Direction Cosines)
(位置矢量, Position Vector)
(运动, Motion)
(代入, Substitute)
(三维轨迹, 3D trajectory)
(时间, Time)
(参数方程, Parametric Equation)
(运动方程, Equations of Motion)
