(会聚透镜, Converging lens)
(发散透镜, Diverging lens)
(缩小, Reduced)
(焦平面, Focal plane)
(凹透镜, Concave lens)
(双凹薄透镜, Double concave lens)
(逐次成像法, Successive imaging method)
(焦点, Focus)
(像, Image)
(薄透镜, Thin lens)
(放大率, Magnification)
(共轴薄透镜组成像问题, Image formation problem with coaxial thin lenses)
(倒立, Inverted)
(正立, Upright)
(透镜成像, Lens imaging)
(物像公式, Object-image formula)
(实像, Real image)
(放大, Enlarged)
(凸透镜, Convex lens)
(虚像, Virtual image)
(折射率, Refractive index)
(符号规则, Sign convention)
(焦距, Focal length)
