(正电荷, positive charge)
(静电场, static electric field)
(点电荷, point charge)
(电场强度, electric field strength)
(高斯定理, Gauss's Law)
(特殊对称性, special symmetry)
(叠加原理, superposition principle)
(电场叠加原理, superposition principle of electric fields)
(电场叠加原理, principle of superposition of electric fields)
(电荷, charge)
(电场强度通量, electric field flux)
(计算电场强度, calculate electric field strength)
(电磁场方程组, electromagnetic field equations)
(运动电荷, moving charge)
(高斯定理, Gauss's theorem)
(迅速变化的电磁场, rapidly changing electromagnetic field)
(负电荷, negative charge)
(高斯面, Gaussian surface)
(闭合曲面, closed surface)
(电场线, electric field lines)
(电荷代数和, algebraic sum of charges)
(库仑定律, Coulomb's Law)
(电场线数, number of electric field lines)
